UniqueID,IDandDateConcat,Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
6036642472,1.50396E+14,1503960366,4/12/16,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985
6036642473,1.50396E+14,1503960366,4/13/16,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797
6036642474,1.50396E+14,1503960366,4/14/16,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776
6036642475,1.50396E+14,1503960366,4/15/16,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745
6036642476,1.50396E+14,1503960366,4/16/16,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863
6036642477,1.50396E+14,1503960366,4/17/16,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728
6036642478,1.50396E+14,1503960366,4/18/16,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921
6036642479,1.50396E+14,1503960366,4/19/16,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035
6036642480,1.50396E+14,1503960366,4/20/16,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786
6036642481,1.50396E+14,1503960366,4/21/16,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775
6036642482,1.50396E+14,1503960366,4/22/16,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827
6036642483,1.50396E+14,1503960366,4/23/16,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949
6036642484,1.50396E+14,1503960366,4/24/16,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788
6036642485,1.50396E+14,1503960366,4/25/16,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013
6036642486,1.50396E+14,1503960366,4/26/16,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970
6036642487,1.50396E+14,1503960366,4/27/16,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159
6036642488,1.50396E+14,1503960366,4/28/16,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898
6036642489,1.50396E+14,1503960366,4/29/16,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837
6036642490,1.50396E+14,1503960366,4/30/16,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947
6036642491,1.50396E+14,1503960366,5/1/16,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820
6036642492,1.50396E+14,1503960366,5/2/16,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004
6036642493,1.50396E+14,1503960366,5/3/16,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990
6036642494,1.50396E+14,1503960366,5/4/16,11100,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,0,36,22,203,1179,1819
6036642495,1.50396E+14,1503960366,5/5/16,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959
6036642496,1.50396E+14,1503960366,5/6/16,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896
6036642497,1.50396E+14,1503960366,5/7/16,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821
6036642498,1.50396E+14,1503960366,5/8/16,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,44,8,203,574,1740
6036642499,1.50396E+14,1503960366,5/9/16,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206,835,1819
6036642500,1.50396E+14,1503960366,5/10/16,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859
6036642501,1.50396E+14,1503960366,5/11/16,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251,669,1783
6036642502,1.50396E+14,1503960366,5/12/16,0,0,0,0,0,0,0,0,0,0,0,1440,0
8008142472,1.62458E+14,1624580081,4/12/16,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432
8008142473,1.62458E+14,1624580081,4/13/16,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411
8008142474,1.62458E+14,1624580081,4/14/16,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236,1204,1572
8008142475,1.62458E+14,1624580081,4/15/16,1510,0.980000019,0.980000019,0,0,0,0.970000029,0,0,0,96,1344,1344
8008142476,1.62458E+14,1624580081,4/16/16,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463
8008142477,1.62458E+14,1624580081,4/17/16,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276,1554
8008142478,1.62458E+14,1624580081,4/18/16,10536,7.409999847,7.409999847,0,2.150000095,0.620000005,4.619999886,0.01,17,7,202,1214,1604
8008142479,1.62458E+14,1624580081,4/19/16,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435
8008142480,1.62458E+14,1624580081,4/20/16,4974,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,1446
8008142481,1.62458E+14,1624580081,4/21/16,6349,4.130000114,4.130000114,0,0,0,4.110000134,0.02,0,0,186,1254,1467
8008142482,1.62458E+14,1624580081,4/22/16,4026,2.619999886,2.619999886,0,0,0,2.599999905,0,0,0,199,1241,1470
8008142483,1.62458E+14,1624580081,4/23/16,8538,5.550000191,5.550000191,0,0,0,5.539999962,0.01,0,0,227,1213,1562
8008142484,1.62458E+14,1624580081,4/24/16,6076,3.950000048,3.950000048,0,1.149999976,0.910000026,1.889999986,0,16,18,185,1221,1617
8008142485,1.62458E+14,1624580081,4/25/16,6497,4.21999979,4.21999979,0,0,0,4.199999809,0.02,0,0,202,1238,1492
8008142486,1.62458E+14,1624580081,4/26/16,2826,1.840000033,1.840000033,0,0,0,1.830000043,0.01,0,0,140,1300,1402
8008142487,1.62458E+14,1624580081,4/27/16,8367,5.440000057,5.440000057,0,1.110000014,1.870000005,2.460000038,0,17,36,154,1233,1670
8008142488,1.62458E+14,1624580081,4/28/16,2759,1.789999962,1.789999962,0,0,0.200000003,1.600000024,0,0,5,115,1320,1401
8008142489,1.62458E+14,1624580081,4/29/16,2390,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,150,1290,1404
8008142490,1.62458E+14,1624580081,4/30/16,6474,4.300000191,4.300000191,0,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182,1655
8008142491,1.62458E+14,1624580081,5/1/16,36019,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.02,186,63,171,1020,2690
8008142492,1.62458E+14,1624580081,5/2/16,7155,4.929999828,4.929999828,0,0.860000014,0.589999974,3.470000029,0,7,6,166,1261,1497
8008142493,1.62458E+14,1624580081,5/3/16,2100,1.370000005,1.370000005,0,0,0,1.340000033,0.02,0,0,96,1344,1334
8008142494,1.62458E+14,1624580081,5/4/16,2193,1.429999948,1.429999948,0,0,0,1.419999957,0,0,0,118,1322,1368
8008142495,1.62458E+14,1624580081,5/5/16,2470,1.610000014,1.610000014,0,0,0,1.580000043,0.02,0,0,117,1323,1370
8008142496,1.62458E+14,1624580081,5/6/16,1727,1.120000005,1.120000005,0,0,0,1.120000005,0.01,0,0,102,1338,1341
8008142497,1.62458E+14,1624580081,5/7/16,2104,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,182,1258,1474
8008142498,1.62458E+14,1624580081,5/8/16,3427,2.230000019,2.230000019,0,0,0,2.220000029,0,0,0,152,1288,1427
8008142499,1.62458E+14,1624580081,5/9/16,1732,1.129999995,1.129999995,0,0,0,1.129999995,0,0,0,91,1349,1328
8008142500,1.62458E+14,1624580081,5/10/16,2969,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,139,1301,1393
8008142501,1.62458E+14,1624580081,5/11/16,3134,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,112,1328,1359
8008142502,1.62458E+14,1624580081,5/12/16,2971,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,107,890,1002
3008142472,1.64443E+14,1644430081,4/12/16,10694,7.769999981,7.769999981,0,0.140000001,2.299999952,5.329999924,0,2,51,256,1131,3199
3008142473,1.64443E+14,1644430081,4/13/16,8001,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,2902
3008142474,1.64443E+14,1644430081,4/14/16,11037,8.020000458,8.020000458,0,0.360000014,2.559999943,5.099999905,0,5,58,252,1125,3226
3008142475,1.64443E+14,1644430081,4/15/16,5263,3.829999924,3.829999924,0,0.219999999,0.150000006,3.450000048,0,3,4,170,1263,2750
3008142476,1.64443E+14,1644430081,4/16/16,15300,11.11999989,11.11999989,0,4.099999905,1.879999995,5.090000153,0,51,42,212,1135,3493
3008142477,1.64443E+14,1644430081,4/17/16,8757,6.369999886,6.369999886,0,2.25,0.569999993,3.549999952,0,29,13,186,1212,3011
3008142478,1.64443E+14,1644430081,4/18/16,7132,5.190000057,5.190000057,0,1.070000052,1.669999957,2.450000048,0,15,33,121,1271,2806
3008142479,1.64443E+14,1644430081,4/19/16,11256,8.180000305,8.180000305,0,0.360000014,2.529999971,5.300000191,0,5,58,278,1099,3300
3008142480,1.64443E+14,1644430081,4/20/16,2436,1.769999981,1.769999981,0,0,0,1.75999999,0.01,0,0,125,1315,2430
3008142481,1.64443E+14,1644430081,4/21/16,1223,0.889999986,0.889999986,0,0,0,0.879999995,0.01,0,0,38,1402,2140
3008142482,1.64443E+14,1644430081,4/22/16,3673,2.670000076,2.670000076,0,0,0,2.660000086,0.01,0,0,86,1354,2344
3008142483,1.64443E+14,1644430081,4/23/16,6637,4.829999924,4.829999924,0,0,0.579999983,4.25,0,0,15,160,1265,2677
3008142484,1.64443E+14,1644430081,4/24/16,3321,2.410000086,2.410000086,0,0,0,2.410000086,0,0,0,89,1351,2413
3008142485,1.64443E+14,1644430081,4/25/16,3580,2.599999905,2.599999905,0,0.589999974,0.059999999,1.950000048,0,8,1,94,1337,2497
3008142486,1.64443E+14,1644430081,4/26/16,9919,7.210000038,7.210000038,0,0.800000012,1.720000029,4.690000057,0,11,41,223,1165,3123
3008142487,1.64443E+14,1644430081,4/27/16,3032,2.200000048,2.200000048,0,0,0,2.200000048,0,0,0,118,1322,2489
3008142488,1.64443E+14,1644430081,4/28/16,9405,6.840000153,6.840000153,0,0.200000003,2.319999933,4.309999943,0,3,53,227,1157,3108
3008142489,1.64443E+14,1644430081,4/29/16,3176,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,120,1193,2498
3008142490,1.64443E+14,1644430081,4/30/16,18213,13.23999977,13.23999977,0,0.629999995,3.140000105,9.460000038,0,9,71,402,816,3846
3008142491,1.64443E+14,1644430081,5/1/16,6132,4.460000038,4.460000038,0,0.239999995,0.99000001,3.230000019,0,3,24,146,908,2696
3008142492,1.64443E+14,1644430081,5/2/16,3758,2.730000019,2.730000019,0,0.07,0.310000002,2.349999905,0,1,7,148,682,2580
3008142493,1.64443E+14,1644430081,5/3/16,12850,9.340000153,9.340000153,0,0.720000029,4.090000153,4.539999962,0,10,94,221,1115,3324
3008142494,1.64443E+14,1644430081,5/4/16,2309,1.679999948,1.679999948,0,0,0,1.659999967,0.02,0,0,52,1388,2222
3008142495,1.64443E+14,1644430081,5/5/16,4363,3.190000057,3.190000057,0,0.519999981,0.540000021,2.130000114,0.01,6,12,81,1341,2463
3008142496,1.64443E+14,1644430081,5/6/16,9787,7.119999886,7.119999886,0,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,3328
3008142497,1.64443E+14,1644430081,5/7/16,13372,9.720000267,9.720000267,0,3.25999999,0.790000021,5.670000076,0.01,41,17,243,1139,3404
3008142498,1.64443E+14,1644430081,5/8/16,6724,4.889999866,4.889999866,0,0,0,4.880000114,0,0,0,295,991,2987
3008142499,1.64443E+14,1644430081,5/9/16,6643,4.829999924,4.829999924,0,2.390000105,0.349999994,2.089999914,0.01,32,6,303,1099,3008
3008142500,1.64443E+14,1644430081,5/10/16,9167,6.659999847,6.659999847,0,0.879999995,0.810000002,4.96999979,0.01,12,19,155,1254,2799
3008142501,1.64443E+14,1644430081,5/11/16,1329,0.970000029,0.970000029,0,0,0,0.949999988,0.01,0,0,49,713,1276
507242472,1.84451E+14,1844505072,4/12/16,6697,4.429999828,4.429999828,0,0,0,4.429999828,0,0,0,339,1101,2030
507242473,1.84451E+14,1844505072,4/13/16,4929,3.25999999,3.25999999,0,0,0,3.25999999,0,0,0,248,1192,1860
507242474,1.84451E+14,1844505072,4/14/16,7937,5.25,5.25,0,0,0,5.230000019,0,0,0,373,843,2130
507242475,1.84451E+14,1844505072,4/15/16,3844,2.539999962,2.539999962,0,0,0,2.539999962,0,0,0,176,527,1725
507242476,1.84451E+14,1844505072,4/16/16,3414,2.25999999,2.25999999,0,0,0,2.25999999,0,0,0,147,1293,1657
507242477,1.84451E+14,1844505072,4/17/16,4525,2.99000001,2.99000001,0,0.140000001,0.25999999,2.589999914,0,2,8,199,1231,1793
507242478,1.84451E+14,1844505072,4/18/16,4597,3.039999962,3.039999962,0,0,0.479999989,2.559999943,0,0,12,217,1211,1814
507242479,1.84451E+14,1844505072,4/19/16,197,0.129999995,0.129999995,0,0,0,0.129999995,0,0,0,10,1430,1366
507242480,1.84451E+14,1844505072,4/20/16,8,0.01,0.01,0,0,0,0.01,0,0,0,1,1439,1349
507242481,1.84451E+14,1844505072,4/21/16,8054,5.320000172,5.320000172,0,0.119999997,0.519999981,4.679999828,0,2,13,308,1117,2062
507242482,1.84451E+14,1844505072,4/22/16,5372,3.549999952,3.549999952,0,0,0,3.549999952,0,0,0,220,1220,1827
507242483,1.84451E+14,1844505072,4/23/16,3570,2.359999895,2.359999895,0,0,0,2.359999895,0,0,0,139,1301,1645
507242484,1.84451E+14,1844505072,4/24/16,0,0,0,0,0,0,0,0,0,0,0,1440,1347
507242485,1.84451E+14,1844505072,4/25/16,0,0,0,0,0,0,0,0,0,0,0,1440,1347
507242486,1.84451E+14,1844505072,4/26/16,0,0,0,0,0,0,0,0,0,0,0,1440,1347
507242487,1.84451E+14,1844505072,4/27/16,4,0,0,0,0,0,0,0,0,0,1,1439,1348
507242488,1.84451E+14,1844505072,4/28/16,6907,4.570000172,4.570000172,0,0,0,4.559999943,0,0,0,302,1138,1992
507242489,1.84451E+14,1844505072,4/29/16,4920,3.25,3.25,0,0,0,3.25,0,0,0,247,1082,1856
507242490,1.84451E+14,1844505072,4/30/16,4014,2.670000076,2.670000076,0,0,0,2.650000095,0,0,0,184,218,1763
507242491,1.84451E+14,1844505072,5/1/16,2573,1.700000048,1.700000048,0,0,0.25999999,1.450000048,0,0,7,75,585,1541
507242492,1.84451E+14,1844505072,5/2/16,0,0,0,0,0,0,0,0,0,0,0,1440,1348
