UniqueID,IDandDateConcat,Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
6036642472,150396036642472,1503960366,4/12/16,1,327,346
6036642473,150396036642473,1503960366,4/13/16,2,384,407
6036642475,150396036642475,1503960366,4/15/16,1,412,442
6036642476,150396036642476,1503960366,4/16/16,2,340,367
6036642477,150396036642477,1503960366,4/17/16,1,700,712
6036642479,150396036642479,1503960366,4/19/16,1,304,320
6036642480,150396036642480,1503960366,4/20/16,1,360,377
6036642481,150396036642481,1503960366,4/21/16,1,325,364
6036642483,150396036642483,1503960366,4/23/16,1,361,384
6036642484,150396036642484,1503960366,4/24/16,1,430,449
6036642485,150396036642485,1503960366,4/25/16,1,277,323
6036642486,150396036642486,1503960366,4/26/16,1,245,274
6036642488,150396036642488,1503960366,4/28/16,1,366,393
6036642489,150396036642489,1503960366,4/29/16,1,341,354
6036642490,150396036642490,1503960366,4/30/16,1,404,425
6036642491,150396036642491,1503960366,5/1/16,1,369,396
6036642492,150396036642492,1503960366,5/2/16,1,277,309
6036642493,150396036642493,1503960366,5/3/16,1,273,296
6036642495,150396036642495,1503960366,5/5/16,1,247,264
6036642496,150396036642496,1503960366,5/6/16,1,334,367
6036642497,150396036642497,1503960366,5/7/16,1,331,349
6036642498,150396036642498,1503960366,5/8/16,1,594,611
6036642499,150396036642499,1503960366,5/9/16,1,338,342
6036642500,150396036642500,1503960366,5/10/16,1,383,403
6036642501,150396036642501,1503960366,5/11/16,1,285,306
3008142489,164443008142489,1644430081,4/29/16,1,119,127
3008142490,164443008142490,1644430081,4/30/16,1,124,142
3008142492,164443008142492,1644430081,5/2/16,1,796,961
3008142498,164443008142498,1644430081,5/8/16,1,137,154
0507242475,184450507242475,1844505072,4/15/16,1,644,961
0507242490,184450507242490,1844505072,4/30/16,1,722,961
0507242491,184450507242491,1844505072,5/1/16,1,590,961
7227942472,192797227942472,1927972279,4/12/16,3,750,775
7227942473,192797227942473,1927972279,4/13/16,1,398,422
7227942475,192797227942475,1927972279,4/15/16,2,475,499
7227942486,192797227942486,1927972279,4/26/16,1,296,315
7227942488,192797227942488,1927972279,4/28/16,1,166,178
5203542472,202635203542472,2026352035,4/12/16,1,503,546
5203542473,202635203542473,2026352035,4/13/16,1,531,565
5203542474,202635203542474,2026352035,4/14/16,1,545,568
5203542475,202635203542475,2026352035,4/15/16,1,523,573
5203542476,202635203542476,2026352035,4/16/16,1,524,567
5203542477,202635203542477,2026352035,4/17/16,1,437,498
5203542479,202635203542479,2026352035,4/19/16,1,498,540
5203542480,202635203542480,2026352035,4/20/16,1,461,510
5203542481,202635203542481,2026352035,4/21/16,1,477,514
5203542482,202635203542482,2026352035,4/22/16,1,520,545
5203542483,202635203542483,2026352035,4/23/16,1,522,554
5203542484,202635203542484,2026352035,4/24/16,1,555,591
5203542485,202635203542485,2026352035,4/25/16,1,506,531
5203542487,202635203542487,2026352035,4/27/16,1,508,545
5203542488,202635203542488,2026352035,4/28/16,1,513,545
5203542489,202635203542489,2026352035,4/29/16,1,490,510
5203542490,202635203542490,2026352035,4/30/16,1,573,607
5203542491,202635203542491,2026352035,5/1/16,1,527,546
5203542492,202635203542492,2026352035,5/2/16,1,511,543
5203542494,202635203542494,2026352035,5/4/16,1,538,560
5203542495,202635203542495,2026352035,5/5/16,1,468,485
5203542496,202635203542496,2026352035,5/6/16,1,524,548
5203542497,202635203542497,2026352035,5/7/16,1,511,521
5203542498,202635203542498,2026352035,5/8/16,1,541,568
5203542499,202635203542499,2026352035,5/9/16,1,531,556
5203542500,202635203542500,2026352035,5/10/16,1,357,380
5203542501,202635203542501,2026352035,5/11/16,1,523,553
5203542502,202635203542502,2026352035,5/12/16,1,456,485
2700242483,232012700242483,2320127002,4/23/16,1,61,69
6779642473,234716779642473,2347167796,4/13/16,1,467,531
6779642474,234716779642474,2347167796,4/14/16,1,445,489
6779642475,234716779642475,2347167796,4/15/16,1,452,504
6779642477,234716779642477,2347167796,4/17/16,1,556,602
6779642478,234716779642478,2347167796,4/18/16,1,500,557
6779642479,234716779642479,2347167796,4/19/16,1,465,514
6779642481,234716779642481,2347167796,4/21/16,1,460,484
6779642482,234716779642482,2347167796,4/22/16,1,405,461
6779642483,234716779642483,2347167796,4/23/16,1,374,386
6779642484,234716779642484,2347167796,4/24/16,1,442,459
6779642485,234716779642485,2347167796,4/25/16,1,433,471
6779642486,234716779642486,2347167796,4/26/16,1,436,490
6779642487,234716779642487,2347167796,4/27/16,1,448,499
6779642488,234716779642488,2347167796,4/28/16,1,408,450
6779642489,234716779642489,2347167796,4/29/16,1,411,473
3371442472,397733371442472,3977333714,4/12/16,1,274,469
3371442473,397733371442473,3977333714,4/13/16,2,295,456
3371442474,397733371442474,3977333714,4/14/16,1,291,397
3371442475,397733371442475,3977333714,4/15/16,1,424,556
3371442476,397733371442476,3977333714,4/16/16,1,283,510
3371442477,397733371442477,3977333714,4/17/16,1,381,566
3371442478,397733371442478,3977333714,4/18/16,2,412,522
3371442479,397733371442479,3977333714,4/19/16,1,219,395
3371442480,397733371442480,3977333714,4/20/16,2,152,305
3371442481,397733371442481,3977333714,4/21/16,1,332,512
3371442482,397733371442482,3977333714,4/22/16,1,355,476
3371442483,397733371442483,3977333714,4/23/16,1,235,372
3371442484,397733371442484,3977333714,4/24/16,1,310,526
3371442485,397733371442485,3977333714,4/25/16,1,262,467
3371442486,397733371442486,3977333714,4/26/16,1,250,371
3371442487,397733371442487,3977333714,4/27/16,1,349,540
3371442488,397733371442488,3977333714,4/28/16,1,261,423
3371442489,397733371442489,3977333714,4/29/16,1,333,478
3371442490,397733371442490,3977333714,4/30/16,1,237,382
3371442491,397733371442491,3977333714,5/1/16,1,383,626
3371442492,397733371442492,3977333714,5/2/16,1,230,384
3371442493,397733371442493,3977333714,5/3/16,1,292,500
3371442494,397733371442494,3977333714,5/4/16,1,213,336
3371442495,397733371442495,3977333714,5/5/16,1,318,480
3371442496,397733371442496,3977333714,5/6/16,1,323,512
3371442497,397733371442497,3977333714,5/7/16,1,237,443
3371442498,397733371442498,3977333714,5/8/16,2,259,456
3371442500,397733371442500,3977333714,5/10/16,1,312,452
3265042472,402033265042472,4020332650,4/12/16,1,501,541
3265042476,402033265042476,4020332650,4/16/16,1,77,77
3265042493,402033265042493,4020332650,5/3/16,1,322,332
3265042494,402033265042494,4020332650,5/4/16,1,478,536
3265042495,402033265042495,4020332650,5/5/16,1,226,248
3265042496,402033265042496,4020332650,5/6/16,1,385,408
3265042498,402033265042498,4020332650,5/8/16,1,364,402
3265042500,402033265042500,4020332650,5/10/16,1,442,494
0357742474,431970357742474,4319703577,4/14/16,1,535,557
0357742475,431970357742475,4319703577,4/15/16,1,465,491
0357742476,431970357742476,4319703577,4/16/16,1,506,522
0357742478,431970357742478,4319703577,4/18/16,1,515,551
0357742479,431970357742479,4319703577,4/19/16,2,461,498
0357742480,431970357742480,4319703577,4/20/16,1,523,543
0357742481,431970357742481,4319703577,4/21/16,1,59,65
0357742482,431970357742482,4319703577,4/22/16,1,533,550
0357742483,431970357742483,4319703577,4/23/16,1,692,722
0357742484,431970357742484,4319703577,4/24/16,1,467,501
0357742485,431970357742485,4319703577,4/25/16,1,488,506
0357742486,431970357742486,4319703577,4/26/16,1,505,516
0357742487,431970357742487,4319703577,4/27/16,1,286,307
0357742488,431970357742488,4319703577,4/28/16,1,497,522
0357742489,431970357742489,4319703577,4/29/16,1,523,546
0357742490,431970357742490,4319703577,4/30/16,1,490,516
0357742491,431970357742491,4319703577,5/1/16,1,484,500
0357742492,431970357742492,4319703577,5/2/16,1,478,506
0357742493,431970357742493,4319703577,5/3/16,1,474,512
0357742496,431970357742496,4319703577,5/6/16,1,450,491
0357742497,431970357742497,4319703577,5/7/16,1,507,530
0357742498,431970357742498,4319703577,5/8/16,1,602,638
0357742499,431970357742499,4319703577,5/9/16,1,535,565
0357742500,431970357742500,4319703577,5/10/16,1,487,517
0357742501,431970357742501,4319703577,5/11/16,1,529,558
0357742502,431970357742502,4319703577,5/12/16,1,302,321
6184742475,438816184742475,4388161847,4/15/16,1,499,526
6184742476,438816184742476,4388161847,4/16/16,2,426,448
6184742477,438816184742477,4388161847,4/17/16,2,619,641
6184742478,438816184742478,4388161847,4/18/16,1,99,104
6184742479,438816184742479,4388161847,4/19/16,1,329,338
6184742480,438816184742480,4388161847,4/20/16,1,421,451
